rank	movie	year	director	director_2	director_3	director_4	decade
1	Vertigo	1958	ALFRED HITCHCOCK				1950s
2	Citizen Kane	1941	ORSON WELLES				1940s
3	Tokyo Story	1953	YASUJIRÔ OZU				1950s
4	2001: A Space Odyssey	1968	STANLEY KUBRICK				1960s
5	The Rules of the Game	1939	JEAN RENOIR				1930s
6	Sunrise: A Song of Two Humans	1927	F.W. MURNAU				1920s
7	8½	1963	FEDERICO FELLINI				1960s
8	The Searchers	1956	JOHN FORD				1950s
9	Apocalypse Now	1979	FRANCIS FORD COPPOLA				1970s
10	Breathless	1960	JEAN-LUC GODARD				1960s
11	Man With a Movie Camera	1929	DZIGA VERTOV				1920s
12	The Passion of Joan of Arc	1928	CARL THEODOR DREYER				1920s
13	The Mirror	1975	ANDREI TARKOVSKY				1970s
14	L'Atalante	1934	JEAN VIGO				1930s
15	The Godfather	1972	FRANCIS FORD COPPOLA				1970s
16	Persona	1966	INGMAR BERGMAN				1960s
17	Taxi Driver	1976	MARTIN SCORSESE				1970s
18	Battleship Potemkin	1925	SERGEI EISENSTEIN				1920s
19	Seven Samurai	1954	AKIRA KUROSAWA				1950s
20	Au hasard Balthazar	1966	ROBERT BRESSON				1960s
21	Bicycle Thieves	1948	VITTORIO DE SICA				1940s
22	Andrei Rublev	1966	ANDREI TARKOVSKY				1960s
23	Rashômon	1950	AKIRA KUROSAWA				1950s
24	Ordet	1955	CARL THEODOR DREYER				1950s
25	The 400 Blows	1959	FRANÇOIS TRUFFAUT				1950s
26	L'avventura	1960	MICHELANGELO ANTONIONI				1960s
27	Singin' in the Rain	1952	STANLEY DONEN	GENE KELLY			1950s
28	Contempt	1963	JEAN-LUC GODARD				1960s
29	Late Spring	1949	YASUJIRÔ OZU				1940s
30	Raging Bull	1980	MARTIN SCORSESE				1980s
31	Stalker	1979	ANDREI TARKOVSKY				1970s
32	The Godfather: Part II	1974	FRANCIS FORD COPPOLA				1970s
33	In the Mood for Love	2000	WONG KAR-WAI				2000s
34	Shoah	1985	CLAUDE LANZMANN				1980s
35	Mulholland Drive	2001	DAVID LYNCH				2000s
36	La dolce vita	1960	FEDERICO FELLINI				1960s
37	Psycho	1960	ALFRED HITCHCOCK				1960s
38	The Battle of Algiers	1966	GILLO PONTECORVO				1960s
39	Close-Up	1990	ABBAS KIAROSTAMI				1990s
40	Barry Lyndon	1975	STANLEY KUBRICK				1970s
41	PlayTime	1967	JACQUES TATI				1960s
42	Some Like It Hot	1959	BILLY WILDER				1950s
